time [s],expiration [NA](/api/datatype/35/)
2.421875,24343
4.40625,24443
6.375,24495
8.765625,24451
15.0234375,24266
17.6953125,24302
19.9375,24417
24.25,24365
29.7109375,24390
61.4375,24268
64.984375,24269
68.875,24260
72.6953125,24266
76.296875,24269
79.796875,24265
83.3515625,24275
86.359375,24274
90.265625,24173
91.90625,24197
93.15625,24177
94.6328125,24198
95.8125,24190
102.3515625,24179
104.609375,24194
106.875,24228
109.125,24187
110.828125,24242
118.2109375,24179
123.6953125,24214
125.734375,24218
131.90625,24195
134.890625,24207
136.5234375,24230
138.3125,24243
144.40625,24184
147.1328125,24290
148.7734375,24354
154.921875,24190
156.5078125,24222
158.0859375,24207
159.65625,24222
161.3828125,24193
171.625,24181
174.9453125,24193
179.109375,24217
190.140625,24166
193.4296875,24172
196.7890625,24141
204.3671875,24075
210.6640625,24084
216.796875,24098
222.453125,24120
227.5546875,24143
232.2734375,24153
244.765625,24193
253.7109375,24352
260.2109375,24373
268.515625,24367
