time [s],inspiration [NA](/api/datatype/34/)
2.109375,24367
4.0625,24461
6.0078125,24514
7.7578125,24540
10.59375,24519
16.953125,24335
19.5390625,24428
21.7109375,24520
28.65625,24487
30.34375,24402
63.28125,24318
67.03125,24319
71.0546875,24314
74.5,24312
78.0546875,24311
81.5234375,24311
84.984375,24315
88.15625,24314
91.2578125,24259
92.578125,24246
94.0859375,24244
95.2578125,24242
99.78125,24299
103.2421875,24288
105.71875,24294
107.390625,24307
110.125,24279
111.9609375,24308
121.5234375,24296
124.9453125,24267
130.359375,24284
133.515625,24291
135.6953125,24274
137.3515625,24285
139.359375,24298
145.640625,24412
148.1015625,24411
149.5390625,24422
155.875,24289
157.3984375,24296
158.8046875,24311
160.546875,24287
162.921875,24308
174.1875,24247
178.359375,24278
188.171875,24286
191.375,24275
194.484375,24256
202.5546875,24266
208.1015625,24269
213.8046875,24266
219.9140625,24260
225.171875,24258
230.2890625,24258
237.96875,24271
252.4140625,24406
257.9765625,24481
263.6796875,24487
272.515625,57
